遥测名,ac,acc,ac evo,ac rally,F1 22,F1 23,F1 24,F1 25,Forza Motorsport,FH4,FH5,FH6,lmu,rf2,Dirt4,DirtRally2,eawrc,iracing,RaceRoom Racing Experience,Automobilista 2,Project CARS 2,Project CARS 3,Richard Burns Rally,Euro Truck Simulator 2,American Truck Simulator,Live For Speed,BeamNG.drive,WRC 8,WRC 9,WRC 10,WRC Generations
转速,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
车速,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
档位,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
维修区限速器,支持,支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,不支持,不支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
刹车行程,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,支持
油门行程,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,支持
离合行程,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,支持
排名,支持,支持,支持,不支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持
当前圈速,支持,支持,支持,不支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持
上一圈速,支持,支持,支持,不支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
最快圈速,支持,支持,支持,不支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
DRS,支持,不支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
TC,支持,支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
ABS,支持,支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,不支持,不支持,不支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
TC cut,不支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
车辆抱死,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
车辆打滑,支持,支持,支持,不支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
旗语,支持,支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
